text,label,cleaned_text,processed_text,source
"The trouble is , its filmmakers run out of clever ideas and visual gags about halfway through .",1.0,the trouble is its filmmakers run out of clever ideas and visual gags about halfway through,trouble filmmakers run clever ideas visual gags halfway,sst
Ice Cube holds the film together with an engaging and warm performance ...,1.0,ice cube holds the film together with an engaging and warm performance,ice cube holds film together engaging warm performance,sst
"Great story , bad idea for a movie .",2.0,great story bad idea for a movie,great story bad idea movie,sst
"-LRB- T -RRB- his slop does n't even have potential as a cult film , as it 's too loud to shout insults at the screen .",1.0,lrb t rrb his slop does nt even have potential as a cult film as it s too loud to shout insults at the screen,lrb rrb slop nt even potential cult film loud shout insults screen,sst
"A lightweight , uneven action comedy that freely mingles French , Japanese and Hollywood cultures .",0.0,a lightweight uneven action comedy that freely mingles french japanese and hollywood cultures,lightweight uneven action comedy freely mingles french japanese hollywood cultures,sst
"Loosely speaking , we 're in All of Me territory again , and , strictly speaking , Schneider is no Steve Martin .",0.0,loosely speaking we re in all of me territory again and strictly speaking schneider is no steve martin,loosely speaking territory strictly speaking schneider steve martin,sst
To call The Other Side of Heaven `` appalling '' would be to underestimate just how dangerous entertainments like it can be .,1.0,to call the other side of heaven appalling would be to underestimate just how dangerous entertainments like it can be,call side heaven appalling would underestimate dangerous entertainments like,sst
A bold -LRB- and lovely -RRB- experiment that will almost certainly bore most audiences into their own brightly colored dreams .,2.0,a bold lrb and lovely rrb experiment that will almost certainly bore most audiences into their own brightly colored dreams,bold lrb lovely rrb experiment almost certainly bore audiences brightly colored dreams,sst
The first Fatal Attraction was vile enough .,1.0,the first fatal attraction was vile enough,first fatal attraction vile enough,sst
The Porky 's Revenge : Ultimate Edition ?,1.0,the porky s revenge ultimate edition,porky revenge ultimate edition,sst
"-LRB- Danny Huston gives -RRB- an astounding performance that deftly , gradually reveals a real human soul buried beneath a spellbinding serpent 's smirk .",2.0,lrb danny huston gives rrb an astounding performance that deftly gradually reveals a real human soul buried beneath a spellbinding serpent s smirk,lrb danny huston gives rrb astounding performance deftly gradually reveals real human soul buried beneath spellbinding serpent smirk,sst
Too many improbabilities and rose-colored situations temper what could 've been an impacting film .,1.0,too many improbabilities and rosecolored situations temper what could ve been an impacting film,many improbabilities rosecolored situations temper could impacting film,sst
"In the end , White Oleander is n't an adaptation of a novel .",1.0,in the end white oleander is nt an adaptation of a novel,end white oleander nt adaptation novel,sst
"Shreve 's graceful dual narrative gets clunky on the screen , and we keep getting torn away from the compelling historical tale to a less-compelling soap opera .",2.0,shreve s graceful dual narrative gets clunky on the screen and we keep getting torn away from the compelling historical tale to a lesscompelling soap opera,shreve graceful dual narrative gets clunky screen keep getting torn away compelling historical tale lesscompelling soap opera,sst
Watching it is rather like an overlong visit from a large group of your relatives .,1.0,watching it is rather like an overlong visit from a large group of your relatives,watching rather like overlong visit large group relatives,sst
The piquant story needs more dramatic meat on its bones .,0.0,the piquant story needs more dramatic meat on its bones,piquant story needs dramatic meat bones,sst
"Gets the look and the period trappings right , but it otherwise drowns in a sea of visual and verbal clich̩s .",1.0,gets the look and the period trappings right but it otherwise drowns in a sea of visual and verbal clichs,gets look period trappings right otherwise drowns sea visual verbal clichs,sst
The first question to ask about Bad Company is why Anthony Hopkins is in it .,1.0,the first question to ask about bad company is why anthony hopkins is in it,first question ask bad company anthony hopkins,sst
"aside from showing us in explicit detail how difficult it is to win over the two-drink-minimum crowd , there 's little to be learned from watching ` Comedian '",1.0,aside from showing us in explicit detail how difficult it is to win over the twodrinkminimum crowd there s little to be learned from watching comedian,aside showing us explicit detail difficult win twodrinkminimum crowd little learned watching comedian,sst
Worth seeing just for Weaver and LaPaglia .,1.0,worth seeing just for weaver and lapaglia,worth seeing weaver lapaglia,sst
It 's astonishing .,1.0,it s astonishing,astonishing,sst
There is n't a weak or careless performance amongst them .,1.0,there is nt a weak or careless performance amongst them,nt weak careless performance amongst,sst
"Tends to pile too many `` serious issues '' on its plate at times , yet remains fairly light , always entertaining , and smartly written .",2.0,tends to pile too many serious issues on its plate at times yet remains fairly light always entertaining and smartly written,tends pile many serious issues plate times yet remains fairly light always entertaining smartly written,sst
"Who knows , but it works under the direction of Kevin Reynolds .",2.0,who knows but it works under the direction of kevin reynolds,knows works direction kevin reynolds,sst
"Pull -LRB- s -RRB- off the rare trick of recreating not only the look of a certain era , but also the feel .",1.0,pull lrb s rrb off the rare trick of recreating not only the look of a certain era but also the feel,pull lrb rrb rare trick recreating look certain era also feel,sst
"It 's too self-important and plodding to be funny , and too clipped and abbreviated to be an epic .",2.0,it s too selfimportant and plodding to be funny and too clipped and abbreviated to be an epic,selfimportant plodding funny clipped abbreviated epic,sst
"The film is like sitting in a downtown caf̩ , overhearing a bunch of typical late-twenty-somethings natter on about nothing , and desperately wishing you could change tables .",0.0,the film is like sitting in a downtown caf overhearing a bunch of typical latetwentysomethings natter on about nothing and desperately wishing you could change tables,film like sitting downtown caf overhearing bunch typical latetwentysomethings natter nothing desperately wishing could change tables,sst
"S1M0NE 's satire is not subtle , but it is effective .",2.0,smne s satire is not subtle but it is effective,smne satire subtle effective,sst
"The ending does leave you unfulfilled , but these are performances to enjoy in a memorable ensemble piece .",1.0,the ending does leave you unfulfilled but these are performances to enjoy in a memorable ensemble piece,ending leave unfulfilled performances enjoy memorable ensemble piece,sst
It does n't matter that the film is less than 90 minutes .,2.0,it does nt matter that the film is less than minutes,nt matter film less minutes,sst
Um ... is n't that the basis for the entire plot ?,1.0,um is nt that the basis for the entire plot,um nt basis entire plot,sst
"Guy gets girl , guy loses girl , audience falls asleep .",1.0,guy gets girl guy loses girl audience falls asleep,guy gets girl guy loses girl audience falls asleep,sst
... little more than a well-acted television melodrama shot for the big screen .,1.0,little more than a wellacted television melodrama shot for the big screen,little wellacted television melodrama shot big screen,sst
The cast is uniformly excellent ... but the film itself is merely mildly charming .,1.0,the cast is uniformly excellent but the film itself is merely mildly charming,cast uniformly excellent film merely mildly charming,sst
"My precious new Star Wars movie is a lumbering , wheezy drag ...",1.0,my precious new star wars movie is a lumbering wheezy drag,precious new star wars movie lumbering wheezy drag,sst
This is rote drivel aimed at Mom and Dad 's wallet .,0.0,this is rote drivel aimed at mom and dad s wallet,rote drivel aimed mom dad wallet,sst
"Just when the movie seems confident enough to handle subtlety , it dives into soapy bathos .",1.0,just when the movie seems confident enough to handle subtlety it dives into soapy bathos,movie seems confident enough handle subtlety dives soapy bathos,sst
"Skillful as he is , Mr. Shyamalan is undone by his pretensions .",1.0,skillful as he is mr shyamalan is undone by his pretensions,skillful mr shyamalan undone pretensions,sst
"It dabbles all around , never gaining much momentum .",1.0,it dabbles all around never gaining much momentum,dabbles around never gaining much momentum,sst
The screenplay never lets us forget that Bourne was once an amoral assassin just like the ones who are pursuing him ... There is never really a true `` us '' versus `` them '' .,0.0,the screenplay never lets us forget that bourne was once an amoral assassin just like the ones who are pursuing him there is never really a true us versus them,screenplay never lets us forget bourne amoral assassin like ones pursuing never really true us versus,sst
"A chilly , remote , emotionally distant piece ... so dull that its tagline should be : ` In space , no one can hear you snore . '",1.0,a chilly remote emotionally distant piece so dull that its tagline should be in space no one can hear you snore,chilly remote emotionally distant piece dull tagline space one hear snore,sst
"If Divine Secrets of the Ya-Ya Sisterhood suffers from a ploddingly melodramatic structure , it comes to life in the performances .",2.0,if divine secrets of the yaya sisterhood suffers from a ploddingly melodramatic structure it comes to life in the performances,divine secrets yaya sisterhood suffers ploddingly melodramatic structure comes life performances,sst
Much monkeyfun for all .,0.0,much monkeyfun for all,much monkeyfun,sst
You 'll get the enjoyable basic minimum .,2.0,you ll get the enjoyable basic minimum,get enjoyable basic minimum,sst
"This cheery , down-to-earth film is warm with the cozy feeling of relaxing around old friends .",2.0,this cheery downtoearth film is warm with the cozy feeling of relaxing around old friends,cheery downtoearth film warm cozy feeling relaxing around old friends,sst
"Pure of intention and passably diverting , His Secret Life is light , innocuous and unremarkable .",1.0,pure of intention and passably diverting his secret life is light innocuous and unremarkable,pure intention passably diverting secret life light innocuous unremarkable,sst
"No , it 's not nearly as good as any of its influences .",1.0,no it s not nearly as good as any of its influences,nearly good influences,sst
"Director Kevin Bray excels in breaking glass and marking off the `` Miami Vice '' checklist of power boats , Latin music and dog tracks .",2.0,director kevin bray excels in breaking glass and marking off the miami vice checklist of power boats latin music and dog tracks,director kevin bray excels breaking glass marking miami vice checklist power boats latin music dog tracks,sst
"Gives you the steady pulse of life in a beautiful city viewed through the eyes of a character who , in spite of tragic loss and increasing decrepitude , knows in his bones that he is one of the luckiest men alive .",0.0,gives you the steady pulse of life in a beautiful city viewed through the eyes of a character who in spite of tragic loss and increasing decrepitude knows in his bones that he is one of the luckiest men alive,gives steady pulse life beautiful city viewed eyes character spite tragic loss increasing decrepitude knows bones one luckiest men alive,sst
"` Drumline ' shows a level of young , Black manhood that is funny , touching , smart and complicated .",1.0,drumline shows a level of young black manhood that is funny touching smart and complicated,drumline shows level young black manhood funny touching smart complicated,sst
"Madonna has made herself over so often now , there 's apparently nothing left to work with , sort of like Michael Jackson 's nose .",1.0,madonna has made herself over so often now there s apparently nothing left to work with sort of like michael jackson s nose,madonna made often apparently nothing left work sort like michael jackson nose,sst
"By the end of it all I sort of loved the people onscreen , even though I could not stand them .",0.0,by the end of it all i sort of loved the people onscreen even though i could not stand them,end sort loved people onscreen even though could stand,sst
"Finds a way to tell a simple story , perhaps the simplest story of all , in a way that seems compelling and even original .",1.0,finds a way to tell a simple story perhaps the simplest story of all in a way that seems compelling and even original,finds way tell simple story perhaps simplest story way seems compelling even original,sst
A very depressing movie of many missed opportunities .,2.0,a very depressing movie of many missed opportunities,depressing movie many missed opportunities,sst
A thoughtful look at a painful incident that made headlines in 1995 .,2.0,a thoughtful look at a painful incident that made headlines in,thoughtful look painful incident made headlines,sst
"to be more engaging on an emotional level , funnier , and on the whole less detached .",1.0,to be more engaging on an emotional level funnier and on the whole less detached,engaging emotional level funnier whole less detached,sst
"The film 's highlight is definitely its screenplay , both for the rhapsodic dialogue that jumps off the page , and for the memorable character creations .",1.0,the film s highlight is definitely its screenplay both for the rhapsodic dialogue that jumps off the page and for the memorable character creations,film highlight definitely screenplay rhapsodic dialogue jumps page memorable character creations,sst
` Dragonfly ' is a movie about a bus wreck that turns into a film wreck .,2.0,dragonfly is a movie about a bus wreck that turns into a film wreck,dragonfly movie bus wreck turns film wreck,sst
"Laughably , irredeemably awful .",1.0,laughably irredeemably awful,laughably irredeemably awful,sst
The film 's maudlin focus on the young woman 's infirmity and her naive dreams play like the worst kind of Hollywood heart-string plucking .,1.0,the film s maudlin focus on the young woman s infirmity and her naive dreams play like the worst kind of hollywood heartstring plucking,film maudlin focus young woman infirmity naive dreams play like worst kind hollywood heartstring plucking,sst
`` Cremaster 3 '' should come with the warning `` For serious film buffs only ! '',2.0,cremaster should come with the warning for serious film buffs only,cremaster come warning serious film buffs,sst
We get some truly unique character studies and a cross-section of Americana that Hollywood could n't possibly fictionalize and be believed .,2.0,we get some truly unique character studies and a crosssection of americana that hollywood could nt possibly fictionalize and be believed,get truly unique character studies crosssection americana hollywood could nt possibly fictionalize believed,sst
An hour and a half of joyful solo performance .,1.0,an hour and a half of joyful solo performance,hour half joyful solo performance,sst
I do n't think I laughed out loud once .,0.0,i do nt think i laughed out loud once,nt think laughed loud,sst
"Bartlett 's hero remains a reactive cipher , when opening the man 's head and heart is the only imaginable reason for the film to be made .",1.0,bartlett s hero remains a reactive cipher when opening the man s head and heart is the only imaginable reason for the film to be made,bartlett hero remains reactive cipher opening man head heart imaginable reason film made,sst
I wanted more .,1.0,i wanted more,wanted,sst
"The story of Trouble Every Day ... is so sketchy it amounts to little more than preliminary notes for a science-fiction horror film , and the movie 's fragmentary narrative style makes piecing the story together frustrating difficult .",1.0,the story of trouble every day is so sketchy it amounts to little more than preliminary notes for a sciencefiction horror film and the movie s fragmentary narrative style makes piecing the story together frustrating difficult,story trouble every day sketchy amounts little preliminary notes sciencefiction horror film movie fragmentary narrative style makes piecing story together frustrating difficult,sst
"It 's sincere to a fault , but , unfortunately , not very compelling or much fun .",0.0,it s sincere to a fault but unfortunately not very compelling or much fun,sincere fault unfortunately compelling much fun,sst
My advice is to skip the film and pick up the soundtrack .,1.0,my advice is to skip the film and pick up the soundtrack,advice skip film pick soundtrack,sst
"It plods along methodically , somehow under the assumption that its `` dead wife communicating from beyond the grave '' framework is even remotely new or interesting .",1.0,it plods along methodically somehow under the assumption that its dead wife communicating from beyond the grave framework is even remotely new or interesting,plods along methodically somehow assumption dead wife communicating beyond grave framework even remotely new interesting,sst
Funny and also heartwarming without stooping to gooeyness .,2.0,funny and also heartwarming without stooping to gooeyness,funny also heartwarming without stooping gooeyness,sst
"The lack of pace kills it , although , in a movie about cancer , this might be apt .",0.0,the lack of pace kills it although in a movie about cancer this might be apt,lack pace kills although movie cancer might apt,sst
Ramsay and Morton fill this character study with poetic force and buoyant feeling .,2.0,ramsay and morton fill this character study with poetic force and buoyant feeling,ramsay morton fill character study poetic force buoyant feeling,sst
A minor picture with a major identity crisis -- it 's sort of true and it 's sort of bogus and it 's ho-hum all the way through .,1.0,a minor picture with a major identity crisis it s sort of true and it s sort of bogus and it s hohum all the way through,minor picture major identity crisis sort true sort bogus hohum way,sst
"` Charly ' will divide its audience in two separate groups , those reaching for more tissues and those begging for mercy ...",1.0,charly will divide its audience in two separate groups those reaching for more tissues and those begging for mercy,charly divide audience two separate groups reaching tissues begging mercy,sst
More maudlin than sharp .,2.0,more maudlin than sharp,maudlin sharp,sst
"Its use of the thriller form to examine the labyrinthine ways in which people 's lives cross and change , buffeted by events seemingly out of their control , is intriguing , provocative stuff .",1.0,its use of the thriller form to examine the labyrinthine ways in which people s lives cross and change buffeted by events seemingly out of their control is intriguing provocative stuff,use thriller form examine labyrinthine ways people lives cross change buffeted events seemingly control intriguing provocative stuff,sst
"While Undisputed is n't exactly a high , it is a gripping , tidy little movie that takes Mr. Hill higher than he 's been in a while .",1.0,while undisputed is nt exactly a high it is a gripping tidy little movie that takes mr hill higher than he s been in a while,undisputed nt exactly high gripping tidy little movie takes mr hill higher,sst
A pathetically inane and unimaginative cross between XXX and Vertical Limit .,1.0,a pathetically inane and unimaginative cross between xxx and vertical limit,pathetically inane unimaginative cross xxx vertical limit,sst
"A film of epic scale with an intimate feeling , a saga of the ups and downs of friendships .",1.0,a film of epic scale with an intimate feeling a saga of the ups and downs of friendships,film epic scale intimate feeling saga ups downs friendships,sst
The movie makes absolutely no sense .,0.0,the movie makes absolutely no sense,movie makes absolutely sense,sst
"Though overall an overwhelmingly positive portrayal , the film does n't ignore the more problematic aspects of Brown 's life .",1.0,though overall an overwhelmingly positive portrayal the film does nt ignore the more problematic aspects of brown s life,though overall overwhelmingly positive portrayal film nt ignore problematic aspects brown life,sst
Cynics need not apply . ',1.0,cynics need not apply,cynics need apply,sst
Rock 's stand-up magic wanes .,1.0,rock s standup magic wanes,rock standup magic wanes,sst
"... Jones , despite a definitely distinctive screen presence , just is n't able to muster for a movie that , its title notwithstanding , should have been a lot nastier if it wanted to fully capitalize on its lead 's specific gifts .",0.0,jones despite a definitely distinctive screen presence just is nt able to muster for a movie that its title notwithstanding should have been a lot nastier if it wanted to fully capitalize on its lead s specific gifts,jones despite definitely distinctive screen presence nt able muster movie title notwithstanding lot nastier wanted fully capitalize lead specific gifts,sst
"Watching Scarlet Diva , one is poised for titillation , raw insight or both .",0.0,watching scarlet diva one is poised for titillation raw insight or both,watching scarlet diva one poised titillation raw insight,sst
"It 's a flashy , star-splashed reduction .",1.0,it s a flashy starsplashed reduction,flashy starsplashed reduction,sst
"He 's just a sad aristocrat in tattered finery , and the film seems as deflated as he does .",2.0,he s just a sad aristocrat in tattered finery and the film seems as deflated as he does,sad aristocrat tattered finery film seems deflated,sst
Is it possible for a documentary to be utterly entranced by its subject and still show virtually no understanding of it ?,1.0,is it possible for a documentary to be utterly entranced by its subject and still show virtually no understanding of it,possible documentary utterly entranced subject still show virtually understanding,sst
A beautiful and haunting examination of the stories we tell ourselves to make sense of the mundane horrors of the world .,0.0,a beautiful and haunting examination of the stories we tell ourselves to make sense of the mundane horrors of the world,beautiful haunting examination stories tell make sense mundane horrors world,sst
"While Cherish does n't completely survive its tonal transformation from dark comedy to suspense thriller , it 's got just enough charm and appealing character quirks to forgive that still serious problem .",1.0,while cherish does nt completely survive its tonal transformation from dark comedy to suspense thriller it s got just enough charm and appealing character quirks to forgive that still serious problem,cherish nt completely survive tonal transformation dark comedy suspense thriller got enough charm appealing character quirks forgive still serious problem,sst
"Did no one on the set have a sense of humor , or did they not have the nerve to speak up ?",1.0,did no one on the set have a sense of humor or did they not have the nerve to speak up,one set sense humor nerve speak,sst
Full of the kind of obnoxious chitchat that only self-aware neurotics engage in .,1.0,full of the kind of obnoxious chitchat that only selfaware neurotics engage in,full kind obnoxious chitchat selfaware neurotics engage,sst
The most amazing super-sized dosage of goofball stunts any `` Jackass '' fan could want .,0.0,the most amazing supersized dosage of goofball stunts any jackass fan could want,amazing supersized dosage goofball stunts jackass fan could want,sst
"An offbeat , sometimes gross and surprisingly appealing animated film about the true meaning of the holidays .",2.0,an offbeat sometimes gross and surprisingly appealing animated film about the true meaning of the holidays,offbeat sometimes gross surprisingly appealing animated film true meaning holidays,sst
"It 's like an old Warner Bros. costumer jived with sex -- this could be the movie Errol Flynn always wanted to make , though Bette Davis , cast as Joan , would have killed him .",2.0,it s like an old warner bros costumer jived with sex this could be the movie errol flynn always wanted to make though bette davis cast as joan would have killed him,like old warner bros costumer jived sex could movie errol flynn always wanted make though bette davis cast joan would killed,sst
It looks much more like a cartoon in the end than The Simpsons ever has .,0.0,it looks much more like a cartoon in the end than the simpsons ever has,looks much like cartoon end simpsons ever,sst
There ai n't a lot more painful than an unfunny movie that thinks it 's hilarious .,1.0,there ai nt a lot more painful than an unfunny movie that thinks it s hilarious,ai nt lot painful unfunny movie thinks hilarious,sst
Japanese director Shohei Imamura 's latest film is an odd but ultimately satisfying blend of the sophomoric and the sublime .,2.0,japanese director shohei imamura s latest film is an odd but ultimately satisfying blend of the sophomoric and the sublime,japanese director shohei imamura latest film odd ultimately satisfying blend sophomoric sublime,sst
Binoche makes it interesting trying to find out .,2.0,binoche makes it interesting trying to find out,binoche makes interesting trying find,sst
"It may be a prize winner , but Teacher is a bomb .",0.0,it may be a prize winner but teacher is a bomb,may prize winner teacher bomb,sst
"This film was made to get laughs from the slowest person in the audience -- just pure slapstick with lots of inane , inoffensive screaming and exaggerated facial expressions .",1.0,this film was made to get laughs from the slowest person in the audience just pure slapstick with lots of inane inoffensive screaming and exaggerated facial expressions,film made get laughs slowest person audience pure slapstick lots inane inoffensive screaming exaggerated facial expressions,sst
Haneke challenges us to confront the reality of sexual aberration .,1.0,haneke challenges us to confront the reality of sexual aberration,haneke challenges us confront reality sexual aberration,sst
"As adapted by Kevin Molony from Simon Leys ' novel `` The Death of Napoleon '' and directed by Alan Taylor , Napoleon 's journey is interesting but his Parisian rebirth is stillborn",1.0,as adapted by kevin molony from simon leys novel the death of napoleon and directed by alan taylor napoleon s journey is interesting but his parisian rebirth is stillborn,adapted kevin molony simon leys novel death napoleon directed alan taylor napoleon journey interesting parisian rebirth stillborn,sst
"... unlikable , uninteresting , unfunny , and completely , utterly inept .",1.0,unlikable uninteresting unfunny and completely utterly inept,unlikable uninteresting unfunny completely utterly inept,sst
"While the stoically delivered hokum of Hart 's War is never fun , it 's still a worthy addition to the growing canon of post-Saving Private Ryan tributes to the greatest generation .",1.0,while the stoically delivered hokum of hart s war is never fun it s still a worthy addition to the growing canon of postsaving private ryan tributes to the greatest generation,stoically delivered hokum hart war never fun still worthy addition growing canon postsaving private ryan tributes greatest generation,sst
A gift to anyone who loves both dance and cinema,2.0,a gift to anyone who loves both dance and cinema,gift anyone loves dance cinema,sst
A soap-opera quality twist in the last 20 minutes ... almost puts the kibosh on what is otherwise a sumptuous work of B-movie imagination .,1.0,a soapopera quality twist in the last minutes almost puts the kibosh on what is otherwise a sumptuous work of bmovie imagination,soapopera quality twist last minutes almost puts kibosh otherwise sumptuous work bmovie imagination,sst
"Interview With the Assassin is structured less as a documentary and more as a found relic , and as such the film has a difficult time shaking its Blair Witch Project real-time roots .",1.0,interview with the assassin is structured less as a documentary and more as a found relic and as such the film has a difficult time shaking its blair witch project realtime roots,interview assassin structured less documentary found relic film difficult time shaking blair witch project realtime roots,sst
Malcolm McDowell is cool .,0.0,malcolm mcdowell is cool,malcolm mcdowell cool,sst
There 's plenty of style in Guillermo Del Toro 's sequel to the 1998 hit but why do we need 117 minutes to tell a tale that simply ca n't sustain more than 90 minutes .,0.0,there s plenty of style in guillermo del toro s sequel to the hit but why do we need minutes to tell a tale that simply ca nt sustain more than minutes,plenty style guillermo del toro sequel hit need minutes tell tale simply ca nt sustain minutes,sst
"Morrissette has performed a difficult task indeed - he 's taken one of the world 's most fascinating stories and made it dull , lifeless , and irritating .",0.0,morrissette has performed a difficult task indeed he s taken one of the world s most fascinating stories and made it dull lifeless and irritating,morrissette performed difficult task indeed taken one world fascinating stories made dull lifeless irritating,sst
One of the more glaring signs of this movie 's servitude to its superstar is the way it skirts around any scenes that might have required genuine acting from Ms. Spears .,1.0,one of the more glaring signs of this movie s servitude to its superstar is the way it skirts around any scenes that might have required genuine acting from ms spears,one glaring signs movie servitude superstar way skirts around scenes might required genuine acting ms spears,sst
Ecks this one off your must-see list .,0.0,ecks this one off your mustsee list,ecks one mustsee list,sst
"In his role of observer of the scene , Lawrence sounds whiny and defensive , as if his life-altering experiences made him bitter and less mature .",1.0,in his role of observer of the scene lawrence sounds whiny and defensive as if his lifealtering experiences made him bitter and less mature,role observer scene lawrence sounds whiny defensive lifealtering experiences made bitter less mature,sst
"Smart and alert , Thirteen Conversations About One Thing is a small gem .",1.0,smart and alert thirteen conversations about one thing is a small gem,smart alert thirteen conversations one thing small gem,sst
An intermittently pleasing but mostly routine effort .,1.0,an intermittently pleasing but mostly routine effort,intermittently pleasing mostly routine effort,sst
"Jose Campanella delivers a loosely autobiographical story brushed with sentimentality but brimming with gentle humor , bittersweet pathos , and lyric moments that linger like snapshots of memory .",2.0,jose campanella delivers a loosely autobiographical story brushed with sentimentality but brimming with gentle humor bittersweet pathos and lyric moments that linger like snapshots of memory,jose campanella delivers loosely autobiographical story brushed sentimentality brimming gentle humor bittersweet pathos lyric moments linger like snapshots memory,sst
Zaidan 's script has barely enough plot to string the stunts together and not quite enough characterization to keep the faces straight .,1.0,zaidan s script has barely enough plot to string the stunts together and not quite enough characterization to keep the faces straight,zaidan script barely enough plot string stunts together quite enough characterization keep faces straight,sst
Dolman confines himself to shtick and sentimentality -- the one bald and the other sloppy .,1.0,dolman confines himself to shtick and sentimentality the one bald and the other sloppy,dolman confines shtick sentimentality one bald sloppy,sst
Might be one of those vanity projects in which a renowned filmmaker attempts to show off his talent by surrounding himself with untalented people .,1.0,might be one of those vanity projects in which a renowned filmmaker attempts to show off his talent by surrounding himself with untalented people,might one vanity projects renowned filmmaker attempts show talent surrounding untalented people,sst
"A soggy , shapeless mess ... just a dumb excuse for a waterlogged equivalent of a haunted-house movie .",2.0,a soggy shapeless mess just a dumb excuse for a waterlogged equivalent of a hauntedhouse movie,soggy shapeless mess dumb excuse waterlogged equivalent hauntedhouse movie,sst
"The filmmakers try to balance pointed , often incisive satire and unabashed sweetness , with results that are sometimes bracing , sometimes baffling and quite often , and in unexpected ways , touching .",1.0,the filmmakers try to balance pointed often incisive satire and unabashed sweetness with results that are sometimes bracing sometimes baffling and quite often and in unexpected ways touching,filmmakers try balance pointed often incisive satire unabashed sweetness results sometimes bracing sometimes baffling quite often unexpected ways touching,sst
This is n't a new idea .,2.0,this is nt a new idea,nt new idea,sst
"Anyone else who may , for whatever reason , be thinking about going to see this movie is hereby given fair warning .",2.0,anyone else who may for whatever reason be thinking about going to see this movie is hereby given fair warning,anyone else may whatever reason thinking going see movie hereby given fair warning,sst
"It 's like every bad idea that 's ever gone into an after-school special compiled in one place , minus those daytime programs ' slickness and sophistication -LRB- and who knew they even had any ? -RRB- .",2.0,it s like every bad idea that s ever gone into an afterschool special compiled in one place minus those daytime programs slickness and sophistication lrb and who knew they even had any rrb,like every bad idea ever gone afterschool special compiled one place minus daytime programs slickness sophistication lrb knew even rrb,sst
